Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
./11664_S341_spades.fasta	./11667_S344_spades.fasta	99.60	77.66	37.84	NODE_1_length_439858_cov_21.568879	NODE_1_length_628942_cov_11.045053
./Skrap3_S361_spades.fasta	./Sogn5_S362_spades.fasta	99.41	86.19	85.81	NODE_1_length_275819_cov_17.058239	NODE_1_length_243922_cov_13.821235
./Skrap3_S361_spades.fasta	./Wirz_S363_spades.fasta	99.32	85.33	83.62	NODE_1_length_275819_cov_17.058239	NODE_1_length_389893_cov_22.598949
./NesPan3_S357_spades.fasta	./Sogn5_S362_spades.fasta	89.40	21.90	23.33	NODE_1_length_192124_cov_42.574807	NODE_1_length_243922_cov_13.821235
./NesPan3_S357_spades.fasta	./NzAUS95_S358_spades.fasta	89.29	22.24	23.75	NODE_1_length_192124_cov_42.574807	NODE_1_length_407107_cov_23.818920
./NesPan3_S357_spades.fasta	./Skrap3_S361_spades.fasta	89.38	21.87	23.41	NODE_1_length_192124_cov_42.574807	NODE_1_length_275819_cov_17.058239
./NesPan3_S357_spades.fasta	./Wirz_S363_spades.fasta	89.36	21.91	22.97	NODE_1_length_192124_cov_42.574807	NODE_1_length_389893_cov_22.598949
./NesPan3_S357_spades.fasta	./Ring1_S359_spades.fasta	89.48	22.73	21.32	NODE_1_length_192124_cov_42.574807	NODE_1_length_931805_cov_22.221490
./NagxHevestB_S355_spades.fasta	./Skrap3_S361_spades.fasta	99.27	81.76	84.77	NODE_1_length_248398_cov_30.683631	NODE_1_length_275819_cov_17.058239
./NagxHevestB_S355_spades.fasta	./NesPan3_S357_spades.fasta	89.40	22.33	21.64	NODE_1_length_248398_cov_30.683631	NODE_1_length_192124_cov_42.574807
./NagxHevestB_S355_spades.fasta	./Sogn5_S362_spades.fasta	99.27	81.96	84.61	NODE_1_length_248398_cov_30.683631	NODE_1_length_243922_cov_13.821235
./NagxHevestB_S355_spades.fasta	./NzAUS95_S358_spades.fasta	99.27	81.68	84.51	NODE_1_length_248398_cov_30.683631	NODE_1_length_407107_cov_23.818920
./NagxHevestB_S355_spades.fasta	./NagxHevest_S354_spades.fasta	99.34	83.32	83.13	NODE_1_length_248398_cov_30.683631	NODE_1_length_403846_cov_21.627844
./NagxHevestB_S355_spades.fasta	./Wirz_S363_spades.fasta	99.27	82.92	84.26	NODE_1_length_248398_cov_30.683631	NODE_1_length_389893_cov_22.598949
./NagxHevestB_S355_spades.fasta	./Ring1_S359_spades.fasta	99.28	82.01	74.52	NODE_1_length_248398_cov_30.683631	NODE_1_length_931805_cov_22.221490
./NagxHevestB_S355_spades.fasta	./Nes1_S356_spades.fasta	99.32	81.80	84.28	NODE_1_length_248398_cov_30.683631	NODE_1_length_295860_cov_17.834700
./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	./Kara3_S353_spades.fasta	94.84	50.67	60.25	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence	NODE_1_length_327483_cov_19.758722
./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	./Skrap3_S361_spades.fasta	94.62	51.19	62.11	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence	NODE_1_length_275819_cov_17.058239
./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	./NesPan3_S357_spades.fasta	89.30	19.91	22.58	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence	NODE_1_length_192124_cov_42.574807
./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	./NagxHevestB_S355_spades.fasta	94.73	50.80	59.45	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence	NODE_1_length_248398_cov_30.683631
./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	./Sogn5_S362_spades.fasta	94.62	51.47	62.17	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence	NODE_1_length_243922_cov_13.821235
./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	./NzAUS95_S358_spades.fasta	94.68	52.15	63.14	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence	NODE_1_length_407107_cov_23.818920
./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	./NagxHevest_S354_spades.fasta	94.85	50.79	59.30	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence	NODE_1_length_403846_cov_21.627844
./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	./Gril1_S352_spades.fasta	94.73	51.54	60.59	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence	NODE_1_length_506403_cov_27.916609
./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	./Wirz_S363_spades.fasta	94.73	51.51	61.25	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence	NODE_1_length_389893_cov_22.598949
./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	./Ring1_S359_spades.fasta	94.63	52.73	56.07	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence	NODE_1_length_931805_cov_22.221490
./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	./Nes1_S356_spades.fasta	94.73	50.94	61.42	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence	NODE_1_length_295860_cov_17.834700
./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	./Kara3_S353_spades.fasta	94.85	19.41	62.54	scaffold_1	NODE_1_length_327483_cov_19.758722
./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	./Frag1_S351_spades.fasta	94.73	19.87	64.29	scaffold_1	NODE_1_length_447699_cov_24.901620
./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	./Skrap3_S361_spades.fasta	94.84	19.63	64.51	scaffold_1	NODE_1_length_275819_cov_17.058239
./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	./NesPan3_S357_spades.fasta	89.45	7.74	23.78	scaffold_1	NODE_1_length_192124_cov_42.574807
./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	./NagxHevestB_S355_spades.fasta	94.84	19.66	62.31	scaffold_1	NODE_1_length_248398_cov_30.683631
./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	96.51	24.53	66.44	scaffold_1	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence
./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	./Sogn5_S362_spades.fasta	94.84	19.70	64.48	scaffold_1	NODE_1_length_243922_cov_13.821235
./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	./NzAUS95_S358_spades.fasta	94.78	19.98	65.53	scaffold_1	NODE_1_length_407107_cov_23.818920
./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	./NagxHevest_S354_spades.fasta	94.96	19.52	61.76	scaffold_1	NODE_1_length_403846_cov_21.627844
./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	./Gril1_S352_spades.fasta	94.84	19.90	63.40	scaffold_1	NODE_1_length_506403_cov_27.916609
./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	./Aus332_S350_spades.fasta	94.73	20.03	65.80	scaffold_1	NODE_1_length_464763_cov_12.054899
./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	./Wirz_S363_spades.fasta	94.84	19.86	63.96	scaffold_1	NODE_1_length_389893_cov_22.598949
./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	./Ring1_S359_spades.fasta	94.75	20.18	58.14	scaffold_1	NODE_1_length_931805_cov_22.221490
./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	./Nes1_S356_spades.fasta	94.84	19.60	64.01	scaffold_1	NODE_1_length_295860_cov_17.834700
./20045_S349_spades.fasta	./Skrap3_S361_spades.fasta	95.08	54.39	58.45	NODE_1_length_504912_cov_29.891155	NODE_1_length_275819_cov_17.058239
./20045_S349_spades.fasta	./NesPan3_S357_spades.fasta	89.17	21.40	21.49	NODE_1_length_504912_cov_29.891155	NODE_1_length_192124_cov_42.574807
./20045_S349_spades.fasta	./NagxHevestB_S355_spades.fasta	95.08	54.04	56.01	NODE_1_length_504912_cov_29.891155	NODE_1_length_248398_cov_30.683631
./20045_S349_spades.fasta	./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	96.60	67.44	59.73	NODE_1_length_504912_cov_29.891155	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence
./20045_S349_spades.fasta	./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	98.64	81.64	26.69	NODE_1_length_504912_cov_29.891155	scaffold_1
./20045_S349_spades.fasta	./Wirz_S363_spades.fasta	95.19	54.83	57.74	NODE_1_length_504912_cov_29.891155	NODE_1_length_389893_cov_22.598949
./20045_S349_spades.fasta	./Ring1_S359_spades.fasta	95.15	56.26	52.98	NODE_1_length_504912_cov_29.891155	NODE_1_length_931805_cov_22.221490
./20045_S349_spades.fasta	./Nes1_S356_spades.fasta	95.19	54.38	58.07	NODE_1_length_504912_cov_29.891155	NODE_1_length_295860_cov_17.834700
./20045_S349_spades.fasta	./Kara3_S353_spades.fasta	94.97	53.70	56.55	NODE_1_length_504912_cov_29.891155	NODE_1_length_327483_cov_19.758722
./20045_S349_spades.fasta	./Frag1_S351_spades.fasta	95.19	54.85	58.03	NODE_1_length_504912_cov_29.891155	NODE_1_length_447699_cov_24.901620
./20045_S349_spades.fasta	./30021_S33_L007_contigs.fasta	97.28	61.68	60.81	NODE_1_length_504912_cov_29.891155	NODE_1_length_128361_cov_39.814957
./20045_S349_spades.fasta	./Sogn5_S362_spades.fasta	95.19	54.69	58.51	NODE_1_length_504912_cov_29.891155	NODE_1_length_243922_cov_13.821235
./20045_S349_spades.fasta	./NzAUS95_S358_spades.fasta	95.08	55.68	59.69	NODE_1_length_504912_cov_29.891155	NODE_1_length_407107_cov_23.818920
./20045_S349_spades.fasta	./NagxHevest_S354_spades.fasta	95.08	53.90	55.74	NODE_1_length_504912_cov_29.891155	NODE_1_length_403846_cov_21.627844
./20045_S349_spades.fasta	./Gril1_S352_spades.fasta	95.08	55.13	57.40	NODE_1_length_504912_cov_29.891155	NODE_1_length_506403_cov_27.916609
./20045_S349_spades.fasta	./Aus332_S350_spades.fasta	95.17	55.57	59.68	NODE_1_length_504912_cov_29.891155	NODE_1_length_464763_cov_12.054899
./20045_S349_spades.fasta	./30000_S38_L007_contigs.fasta	97.02	64.50	63.27	NODE_1_length_504912_cov_29.891155	NODE_1_length_233627_cov_28.980214
./11669_S346_spades.fasta	./Skrap3_S361_spades.fasta	99.46	71.07	85.73	NODE_1_length_445185_cov_23.752615	NODE_1_length_275819_cov_17.058239
./11669_S346_spades.fasta	./NesPan3_S357_spades.fasta	89.45	20.01	22.56	NODE_1_length_445185_cov_23.752615	NODE_1_length_192124_cov_42.574807
./11669_S346_spades.fasta	./NagxHevestB_S355_spades.fasta	99.33	69.93	81.35	NODE_1_length_445185_cov_23.752615	NODE_1_length_248398_cov_30.683631
./11669_S346_spades.fasta	./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	94.69	52.73	52.42	NODE_1_length_445185_cov_23.752615	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence
./11669_S346_spades.fasta	./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	94.81	54.46	19.98	NODE_1_length_445185_cov_23.752615	scaffold_1
./11669_S346_spades.fasta	./20045_S349_spades.fasta	95.15	49.72	55.81	NODE_1_length_445185_cov_23.752615	NODE_1_length_504912_cov_29.891155
./11669_S346_spades.fasta	./Wirz_S363_spades.fasta	99.32	70.76	83.65	NODE_1_length_445185_cov_23.752615	NODE_1_length_389893_cov_22.598949
./11669_S346_spades.fasta	./Ring1_S359_spades.fasta	99.31	70.41	74.44	NODE_1_length_445185_cov_23.752615	NODE_1_length_931805_cov_22.221490
./11669_S346_spades.fasta	./Nes1_S356_spades.fasta	99.47	71.25	85.39	NODE_1_length_445185_cov_23.752615	NODE_1_length_295860_cov_17.834700
./11669_S346_spades.fasta	./Kara3_S353_spades.fasta	99.35	70.03	82.77	NODE_1_length_445185_cov_23.752615	NODE_1_length_327483_cov_19.758722
./11669_S346_spades.fasta	./Frag1_S351_spades.fasta	99.36	71.60	85.02	NODE_1_length_445185_cov_23.752615	NODE_1_length_447699_cov_24.901620
./11669_S346_spades.fasta	./30021_S33_L007_contigs.fasta	95.66	46.14	51.06	NODE_1_length_445185_cov_23.752615	NODE_1_length_128361_cov_39.814957
./11669_S346_spades.fasta	./20031_S348_spades.fasta	95.16	49.85	55.00	NODE_1_length_445185_cov_23.752615	NODE_1_length_226136_cov_30.285505
./11669_S346_spades.fasta	./Sogn5_S362_spades.fasta	99.43	71.60	85.99	NODE_1_length_445185_cov_23.752615	NODE_1_length_243922_cov_13.821235
./11669_S346_spades.fasta	./NzAUS95_S358_spades.fasta	99.41	71.89	86.53	NODE_1_length_445185_cov_23.752615	NODE_1_length_407107_cov_23.818920
./11669_S346_spades.fasta	./NagxHevest_S354_spades.fasta	99.26	69.39	80.54	NODE_1_length_445185_cov_23.752615	NODE_1_length_403846_cov_21.627844
./11669_S346_spades.fasta	./Gril1_S352_spades.fasta	99.32	70.80	82.74	NODE_1_length_445185_cov_23.752615	NODE_1_length_506403_cov_27.916609
./11669_S346_spades.fasta	./Aus332_S350_spades.fasta	99.41	71.49	86.19	NODE_1_length_445185_cov_23.752615	NODE_1_length_464763_cov_12.054899
./11669_S346_spades.fasta	./30000_S38_L007_contigs.fasta	95.20	48.85	53.79	NODE_1_length_445185_cov_23.752615	NODE_1_length_233627_cov_28.980214
./11669_S346_spades.fasta	./11670_S347_spades.fasta	99.57	72.99	88.70	NODE_1_length_445185_cov_23.752615	NODE_1_length_477744_cov_22.964950
./11666_S343_spades.fasta	./Skrap3_S361_spades.fasta	99.46	58.03	86.19	NODE_1_length_774254_cov_54.103050	NODE_1_length_275819_cov_17.058239
./11666_S343_spades.fasta	./NesPan3_S357_spades.fasta	89.45	16.27	22.58	NODE_1_length_774254_cov_54.103050	NODE_1_length_192124_cov_42.574807
./11666_S343_spades.fasta	./NagxHevestB_S355_spades.fasta	99.32	57.20	81.93	NODE_1_length_774254_cov_54.103050	NODE_1_length_248398_cov_30.683631
./11666_S343_spades.fasta	./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	94.61	42.66	52.22	NODE_1_length_774254_cov_54.103050	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence
./11666_S343_spades.fasta	./Amaapr1_AssemblyScaffolds_Repeatmasked.fasta	94.62	44.34	20.03	NODE_1_length_774254_cov_54.103050	scaffold_1
./11666_S343_spades.fasta	./20045_S349_spades.fasta	95.17	40.31	55.72	NODE_1_length_774254_cov_54.103050	NODE_1_length_504912_cov_29.891155
./11666_S343_spades.fasta	./11669_S346_spades.fasta	97.47	61.61	75.87	NODE_1_length_774254_cov_54.103050	NODE_1_length_445185_cov_23.752615
./11666_S343_spades.fasta	./Wirz_S363_spades.fasta	99.24	57.64	83.90	NODE_1_length_774254_cov_54.103050	NODE_1_length_389893_cov_22.598949
./11666_S343_spades.fasta	./Ring1_S359_spades.fasta	99.28	57.44	74.77	NODE_1_length_774254_cov_54.103050	NODE_1_length_931805_cov_22.221490
./11666_S343_spades.fasta	./Nes1_S356_spades.fasta	99.46	58.00	85.61	NODE_1_length_774254_cov_54.103050	NODE_1_length_295860_cov_17.834700
./11666_S343_spades.fasta	./Kara3_S353_spades.fasta	99.41	57.29	83.38	NODE_1_length_774254_cov_54.103050	NODE_1_length_327483_cov_19.758722
./11666_S343_spades.fasta	./Frag1_S351_spades.fasta	99.37	57.96	84.76	NODE_1_length_774254_cov_54.103050	NODE_1_length_447699_cov_24.901620
./11666_S343_spades.fasta	./30021_S33_L007_contigs.fasta	95.67	37.38	50.95	NODE_1_length_774254_cov_54.103050	NODE_1_length_128361_cov_39.814957
./11666_S343_spades.fasta	./20031_S348_spades.fasta	95.19	40.55	55.10	NODE_1_length_774254_cov_54.103050	NODE_1_length_226136_cov_30.285505
./11666_S343_spades.fasta	./11668_S345_spades.fasta	99.58	60.06	90.19	NODE_1_length_774254_cov_54.103050	NODE_1_length_439021_cov_21.045865
./11666_S343_spades.fasta	./Sogn5_S362_spades.fasta	99.37	58.48	86.48	NODE_1_length_774254_cov_54.103050	NODE_1_length_243922_cov_13.821235
./11666_S343_spades.fasta	./NzAUS95_S358_spades.fasta	99.41	58.69	86.98	NODE_1_length_774254_cov_54.103050	NODE_1_length_407107_cov_23.818920
./11666_S343_spades.fasta	./NagxHevest_S354_spades.fasta	99.25	56.57	80.85	NODE_1_length_774254_cov_54.103050	NODE_1_length_403846_cov_21.627844
./11666_S343_spades.fasta	./Gril1_S352_spades.fasta	99.26	57.88	83.29	NODE_1_length_774254_cov_54.103050	NODE_1_length_506403_cov_27.916609
./11666_S343_spades.fasta	./Aus332_S350_spades.fasta	99.40	58.13	86.29	NODE_1_length_774254_cov_54.103050	NODE_1_length_464763_cov_12.054899
./11666_S343_spades.fasta	./30000_S38_L007_contigs.fasta	95.20	39.62	53.72	NODE_1_length_774254_cov_54.103050	NODE_1_length_233627_cov_28.980214
./11666_S343_spades.fasta	./11670_S347_spades.fasta	99.58	59.38	88.85	NODE_1_length_774254_cov_54.103050	NODE_1_length_477744_cov_22.964950
./11666_S343_spades.fasta	./11667_S344_spades.fasta	99.82	80.14	50.74	NODE_1_length_774254_cov_54.103050	NODE_1_length_628942_cov_11.045053
./Ring1_S359_spades.fasta	./Sogn5_S362_spades.fasta	99.36	75.36	85.61	NODE_1_length_931805_cov_22.221490	NODE_1_length_243922_cov_13.821235
./Ring1_S359_spades.fasta	./Wirz_S363_spades.fasta	99.36	75.36	84.27	NODE_1_length_931805_cov_22.221490	NODE_1_length_389893_cov_22.598949
./Ring1_S359_spades.fasta	./Skrap3_S361_spades.fasta	99.30	74.69	85.22	NODE_1_length_931805_cov_22.221490	NODE_1_length_275819_cov_17.058239
./Nes1_S356_spades.fasta	./Sogn5_S362_spades.fasta	99.44	86.14	86.31	NODE_1_length_295860_cov_17.834700	NODE_1_length_243922_cov_13.821235
./Nes1_S356_spades.fasta	./NzAUS95_S358_spades.fasta	99.44	86.13	86.49	NODE_1_length_295860_cov_17.834700	NODE_1_length_407107_cov_23.818920
./Nes1_S356_spades.fasta	./Skrap3_S361_spades.fasta	99.44	85.74	86.29	NODE_1_length_295860_cov_17.834700	NODE_1_length_275819_cov_17.058239
./Nes1_S356_spades.fasta	./NesPan3_S357_spades.fasta	89.31	23.11	21.74	NODE_1_length_295860_cov_17.834700	NODE_1_length_192124_cov_42.574807
./Nes1_S356_spades.fasta	./Wirz_S363_spades.fasta	99.34	85.45	84.28	NODE_1_length_295860_cov_17.834700	NODE_1_length_389893_cov_22.598949
./Nes1_S356_spades.fasta	./Ring1_S359_spades.fasta	99.37	84.85	74.84	NODE_1_length_295860_cov_17.834700	NODE_1_length_931805_cov_22.221490
./Kara3_S353_spades.fasta	./Skrap3_S361_spades.fasta	99.38	83.14	84.84	NODE_1_length_327483_cov_19.758722	NODE_1_length_275819_cov_17.058239
./Kara3_S353_spades.fasta	./NesPan3_S357_spades.fasta	89.33	22.70	21.64	NODE_1_length_327483_cov_19.758722	NODE_1_length_192124_cov_42.574807
./Kara3_S353_spades.fasta	./NagxHevestB_S355_spades.fasta	99.27	83.05	81.73	NODE_1_length_327483_cov_19.758722	NODE_1_length_248398_cov_30.683631
./Kara3_S353_spades.fasta	./Sogn5_S362_spades.fasta	99.38	83.68	85.02	NODE_1_length_327483_cov_19.758722	NODE_1_length_243922_cov_13.821235
./Kara3_S353_spades.fasta	./NzAUS95_S358_spades.fasta	99.38	83.73	85.25	NODE_1_length_327483_cov_19.758722	NODE_1_length_407107_cov_23.818920
./Kara3_S353_spades.fasta	./NagxHevest_S354_spades.fasta	99.25	83.14	81.64	NODE_1_length_327483_cov_19.758722	NODE_1_length_403846_cov_21.627844
./Kara3_S353_spades.fasta	./Wirz_S363_spades.fasta	99.41	84.56	84.56	NODE_1_length_327483_cov_19.758722	NODE_1_length_389893_cov_22.598949
./Kara3_S353_spades.fasta	./Ring1_S359_spades.fasta	99.35	82.99	74.22	NODE_1_length_327483_cov_19.758722	NODE_1_length_931805_cov_22.221490
./Kara3_S353_spades.fasta	./Nes1_S356_spades.fasta	99.41	83.60	84.77	NODE_1_length_327483_cov_19.758722	NODE_1_length_295860_cov_17.834700
./Frag1_S351_spades.fasta	./Kara3_S353_spades.fasta	99.38	84.25	83.86	NODE_1_length_447699_cov_24.901620	NODE_1_length_327483_cov_19.758722
./Frag1_S351_spades.fasta	./Skrap3_S361_spades.fasta	99.41	85.28	86.62	NODE_1_length_447699_cov_24.901620	NODE_1_length_275819_cov_17.058239
./Frag1_S351_spades.fasta	./NesPan3_S357_spades.fasta	89.39	23.05	21.88	NODE_1_length_447699_cov_24.901620	NODE_1_length_192124_cov_42.574807
./Frag1_S351_spades.fasta	./NagxHevestB_S355_spades.fasta	99.32	84.40	82.67	NODE_1_length_447699_cov_24.901620	NODE_1_length_248398_cov_30.683631
./Frag1_S351_spades.fasta	./GCA_000827485.1_Amanita_muscaria_Koide_BX008_v1.0_genomic.fna	94.62	61.79	51.72	NODE_1_length_447699_cov_24.901620	KN818222.1 Amanita muscaria Koide BX008 unplaced genomic scaffold scaffold_1, whole genome shotgun sequence
./Frag1_S351_spades.fasta	./Sogn5_S362_spades.fasta	99.47	85.67	86.63	NODE_1_length_447699_cov_24.901620	NODE_1_length_243922_cov_13.821235
./Frag1_S351_spades.fasta	./NzAUS95_S358_spades.fasta	99.32	85.29	86.44	NODE_1_length_447699_cov_24.901620	NODE_1_length_407107_cov_23.818920
./Frag1_S351_spades.fasta	./NagxHevest_S354_spades.fasta	99.27	83.97	82.07	NODE_1_length_447699_cov_24.901620	NODE_1_length_403846_cov_21.627844
./Frag1_S351_spades.fasta	./Gril1_S352_spades.fasta	99.34	85.63	84.28	NODE_1_length_447699_cov_24.901620	NODE_1_length_506403_cov_27.916609
./Frag1_S351_spades.fasta	./Wirz_S363_spades.fasta	99.31	84.65	84.26	NODE_1_length_447699_cov_24.901620	NODE_1_length_389893_cov_22.598949
./Frag1_S351_spades.fasta	./Ring1_S359_spades.fasta	99.34	84.53	75.24	NODE_1_length_447699_cov_24.901620	NODE_1_length_931805_cov_22.221490
./Frag1_S351_spades.fasta	./Nes1_S356_spades.fasta	99.48	85.38	86.17	NODE_1_length_447699_cov_24.901620	NODE_1_length_295860_cov_17.834700
./30021_S33_L007_contigs.fasta	./Skrap3_S361_spades.fasta	95.67	50.15	54.66	NODE_1_length_128361_cov_39.814957	NODE_1_length_275819_cov_17.058239
./30021_S33_L007_contigs.fasta	./NesPan3_S357_spades.fasta	89.80	18.92	19.27	NODE_1_length_128361_cov_39.814957	NODE_1_length_192124_cov_42.574807
